graph_label,graph_seed,num_nodes,density,source,target,algorithm,run,time_ms,nodes_expanded,path_cost
medium,2,500,0.1,196,149,dijkstra_bidireccional,1,0.271292,16,0.178396
medium,2,500,0.1,196,149,dijkstra_bidireccional,2,0.265458,16,0.178396
medium,2,500,0.1,196,149,dijkstra_bidireccional,3,0.308666,16,0.178396
medium,2,500,0.1,22,370,dijkstra,1,1.760459,233,0.636189
medium,2,500,0.1,22,370,dijkstra,2,1.934000,233,0.636189
medium,2,500,0.1,22,370,dijkstra,3,1.496541,233,0.636189
medium,2,500,0.1,22,370,astar,1,0.227750,7,0.636189
medium,2,500,0.1,22,370,astar,2,0.178417,7,0.636189
medium,2,500,0.1,22,370,astar,3,0.175958,7,0.636189
medium,2,500,0.1,22,370,dijkstra_bidireccional,1,1.755041,214,0.689476
medium,2,500,0.1,22,370,dijkstra_bidireccional,2,1.704709,214,0.689476
medium,2,500,0.1,22,370,dijkstra_bidireccional,3,1.744667,214,0.689476
medium,2,500,0.1,86,283,dijkstra,1,0.406458,46,0.209088
medium,2,500,0.1,86,283,dijkstra,2,0.381250,46,0.209088
medium,2,500,0.1,86,283,dijkstra,3,0.382458,46,0.209088
medium,2,500,0.1,86,283,astar,1,0.103417,3,0.209088
medium,2,500,0.1,86,283,astar,2,0.093125,3,0.209088
medium,2,500,0.1,86,283,astar,3,0.093083,3,0.209088
medium,2,500,0.1,86,283,dijkstra_bidireccional,1,0.368958,24,0.251301
medium,2,500,0.1,86,283,dijkstra_bidireccional,2,0.363416,24,0.251301
medium,2,500,0.1,86,283,dijkstra_bidireccional,3,0.354667,24,0.251301
medium,2,500,0.1,316,219,dijkstra,1,0.868250,128,0.306465
medium,2,500,0.1,316,219,dijkstra,2,0.794958,128,0.306465
medium,2,500,0.1,316,219,dijkstra,3,0.786000,128,0.306465
medium,2,500,0.1,316,219,astar,1,0.057333,2,0.306465
medium,2,500,0.1,316,219,astar,2,0.069709,2,0.306465
medium,2,500,0.1,316,219,astar,3,0.063458,2,0.306465
medium,2,500,0.1,316,219,dijkstra_bidireccional,1,0.770791,60,0.353778
medium,2,500,0.1,316,219,dijkstra_bidireccional,2,1.659042,60,0.353778
medium,2,500,0.1,316,219,dijkstra_bidireccional,3,0.756958,60,0.353778
medium,2,500,0.1,311,93,dijkstra,1,1.676042,200,0.519241
medium,2,500,0.1,311,93,dijkstra,2,1.470625,200,0.519241
medium,2,500,0.1,311,93,dijkstra,3,1.337333,200,0.519241
medium,2,500,0.1,311,93,astar,1,0.164542,5,0.519241
medium,2,500,0.1,311,93,astar,2,0.146708,5,0.519241
medium,2,500,0.1,311,93,astar,3,0.145000,5,0.519241
medium,2,500,0.1,311,93,dijkstra_bidireccional,1,0.917333,89,0.523879
medium,2,500,0.1,311,93,dijkstra_bidireccional,2,1.003042,89,0.523879
medium,2,500,0.1,311,93,dijkstra_bidireccional,3,0.887917,89,0.523879
medium,2,500,0.1,289,297,dijkstra,1,2.180167,339,0.608553
medium,2,500,0.1,289,297,dijkstra,2,2.026042,339,0.608553
medium,2,500,0.1,289,297,dijkstra,3,2.201625,339,0.608553
medium,2,500,0.1,289,297,astar,1,0.076708,2,0.608553
medium,2,500,0.1,289,297,astar,2,0.064833,2,0.608553
medium,2,500,0.1,289,297,astar,3,0.063208,2,0.608553
medium,2,500,0.1,289,297,dijkstra_bidireccional,1,2.288833,243,0.651492
medium,2,500,0.1,289,297,dijkstra_bidireccional,2,1.982958,243,0.651492
medium,2,500,0.1,289,297,dijkstra_bidireccional,3,1.990250,243,0.651492
medium,2,500,0.1,75,346,dijkstra,1,1.400750,217,0.614096
medium,2,500,0.1,75,346,dijkstra,2,1.369459,217,0.614096
medium,2,500,0.1,75,346,dijkstra,3,1.334416,217,0.614096
medium,2,500,0.1,75,346,astar,1,0.142792,4,0.614096
medium,2,500,0.1,75,346,astar,2,0.141042,4,0.614096
medium,2,500,0.1,75,346,astar,3,0.125292,4,0.614096
medium,2,500,0.1,75,346,dijkstra_bidireccional,1,1.275250,140,0.622969
medium,2,500,0.1,75,346,dijkstra_bidireccional,2,1.235041,140,0.622969
medium,2,500,0.1,75,346,dijkstra_bidireccional,3,1.195584,140,0.622969
large,3,1000,0.05,670,391,dijkstra,1,7.364833,998,1.297541
large,3,1000,0.05,670,391,dijkstra,2,6.836375,998,1.297541
large,3,1000,0.05,670,391,dijkstra,3,7.595834,998,1.297541
large,3,1000,0.05,670,391,astar,1,0.296834,8,1.297541
large,3,1000,0.05,670,391,astar,2,0.257583,8,1.297541
large,3,1000,0.05,670,391,astar,3,0.253042,8,1.297541
large,3,1000,0.05,670,391,dijkstra_bidireccional,1,7.540125,769,1.309970
